         0    0.0808
    0.1000    0.3278
    0.2000    0.4311
    0.3000    0.4732
    0.4000    0.4967
    0.5000    0.5098
    0.6000    0.5254
    0.7000    0.5340
    0.8000    0.5440
    0.9000    0.5496
    1.0000    0.5575
    1.1000    0.5613
    1.2000    0.5661
    1.3000    0.5713
    1.4000    0.5751
    1.5000    0.5772
    1.6000    0.5824
    1.7000    0.5817
    1.8000    0.5841
    1.9000    0.5872
    2.0000    0.5883
    2.1000    0.5900
    2.2000    0.5931
    2.3000    0.5938
    2.4000    0.5948
    2.5000    0.5948
    2.6000    0.5959
    2.7000    0.5976
    2.8000    0.5976
    2.9000    0.5976
    3.0000    0.5959
    3.1000    0.5965
    3.2000    0.5979
    3.3000    0.5986
    3.4000    0.5969
    3.5000    0.5962
    3.6000    0.5969
    3.7000    0.5965
    3.8000    0.5962
    3.9000    0.5962
