         0    0.0796
    0.1000    0.1809
    0.2000    0.2535
    0.3000    0.3020
    0.4000    0.3355
    0.5000    0.3572
    0.6000    0.3765
    0.7000    0.3916
    0.8000    0.4033
    0.9000    0.4170
    1.0000    0.4283
    1.1000    0.4349
    1.2000    0.4434
    1.3000    0.4519
    1.4000    0.4599
    1.5000    0.4646
    1.6000    0.4707
    1.7000    0.4768
    1.8000    0.4801
    1.9000    0.4867
    2.0000    0.4886
    2.1000    0.4914
    2.2000    0.4962
    2.3000    0.4980
    2.4000    0.5018
    2.5000    0.5051
    2.6000    0.5079
    2.7000    0.5098
    2.8000    0.5145
    2.9000    0.5164
    3.0000    0.5159
    3.1000    0.5211
    3.2000    0.5202
    3.3000    0.5235
    3.4000    0.5240
    3.5000    0.5254
    3.6000    0.5277
    3.7000    0.5277
    3.8000    0.5277
    3.9000    0.5277
