         0    0.0781
    0.1000    0.1059
    0.2000    0.1327
    0.3000    0.1551
    0.4000    0.1734
    0.5000    0.1900
    0.6000    0.2066
    0.7000    0.2174
    0.8000    0.2272
    0.9000    0.2380
    1.0000    0.2460
    1.1000    0.2540
    1.2000    0.2638
    1.3000    0.2672
    1.4000    0.2724
    1.5000    0.2781
    1.6000    0.2821
    1.7000    0.2855
    1.8000    0.2918
    1.9000    0.2981
    2.0000    0.3032
    2.1000    0.3050
    2.2000    0.3090
    2.3000    0.3135
    2.4000    0.3170
    2.5000    0.3198
    2.6000    0.3233
    2.7000    0.3273
    2.8000    0.3290
    2.9000    0.3307
    3.0000    0.3359
    3.1000    0.3364
    3.2000    0.3404
    3.3000    0.3422
    3.4000    0.3444
    3.5000    0.3473
    3.6000    0.3490
    3.7000    0.3496
    3.8000    0.3519
    3.9000    0.3519
